Name,Rating,Review,Clean_Review,Polarity,Sentiment,Review_Length
Rishabh  Jha,5.0,Awesome 🔥🔥☺️,awesome,1.0,Positive,12
Akshay Meena,5.0,"So beautiful, so elegant, just a vowww😍❤️",so beautiful so elegant just a vowww,0.675,Positive,41
Arunji Govindaraju,5.0,"Awesome product very happy to hold this. Better In hand feel,matte finish.Good camera, Brighter screen with Dynamic Island, USB-C, great battery life.60Hz display is a dealbreaker for some.Its not much noticeable.Thank u Flipkart for the best deal and quick delivery.",awesome product very happy to hold this better in hand feelmatte finishgood camera brighter screen with dynamic island usbc great battery lifehz display is a dealbreaker for someits not much noticeablethank u flipkart for the best deal and quick delivery,0.5666666666666665,Positive,267
Neeraj  Chouhan,5.0,Amezing  camera and all over best phone👌,amezing camera and all over best phone,1.0,Positive,40
Nikhil Kumar,5.0,Switch from OnePlus to iPhone I am stunned with camera performance. Everything is perfect on  iPhone 15.,switch from oneplus to iphone i am stunned with camera performance everything is perfect on iphone,1.0,Positive,104
Mousam  Guha Roy,4.0,Very nice,very nice,0.78,Positive,9
Flipkart Customer,5.0,Awesome photography experience. Battery backup is good . Display is much better than 14 version.,awesome photography experience battery backup is good display is much better than version,0.7333333333333334,Positive,96
Ajin V,5.0,High quality camera😍,high quality camera,0.16,Positive,20
Thakur Surya Pratap Singh,5.0,Awesome 😎,awesome,1.0,Positive,9
Prithivi Boruah,5.0,Camera Quality Is Improved Loving It,camera quality is improved loving it,0.6,Positive,36
Saurabh Gothwad,5.0,Simply premium.,simply premium,0.0,Negative,15
bijaya mohanty,5.0,Just go for it.Amazing one.Beautiful camera with super fast processor,just go for itamazing onebeautiful camera with super fast processor,0.26666666666666666,Positive,69
Kriti Customer,5.0,"Just loved the product , colour , design is wow and camera is amazing , just clicked first picture of my grandmother 👵🏻  in portrait mode and results r here in front of you guys 😍😘",just loved the product colour design is wow and camera is amazing just clicked first picture of my grandmother in portrait mode and results r here in front of you guys,0.4125,Positive,180
Talim (sk),5.0,I love this phone. The camera is amazing: its I am so happy,i love this phone the camera is amazing its i am so happy,0.6333333333333334,Positive,59
Sheetla Prasad Maurya,4.0,Best mobile phoneCamera quality is very niceBattery backup is very goodSound quality is amazing.,best mobile phonecamera quality is very nicebattery backup is very goodsound quality is amazing,0.5,Positive,96
Rahul Shedge,5.0,Totally happy!Camera 5Battery 5Display 5Design 5,totally happycamera battery display design,0.0,Negative,48
mohit  yadav,5.0,Nice ❤️,nice,0.6,Positive,7
Flipkart Customer,5.0,Using this Iphone 15 from 1month and it has best Camera,using this iphone from month and it has best camera,1.0,Positive,55
AYUSH singh,5.0,best camera and battery is also very goodIn love with dynamic IslandType-c charging is very fast.Overall best phone,best camera and battery is also very goodin love with dynamic islandtypec charging is very fastoverall best phone,0.48333333333333334,Positive,115
Sandip Mandal,5.0,Great!,great,0.8,Positive,6
Raj Singh,5.0,for me its 10 out of 10✨,for me its out of,0.0,Negative,24
Flipkart Customer,4.0,Nice product,nice product,0.6,Positive,12
Kesab Pradhan,4.0,Nice photo,nice photo,0.6,Positive,10
Afzol  Hussain,5.0,Thanks Flipkart I m glad such a beautiful iPhone 15,thanks flipkart i m glad such a beautiful iphone,0.38749999999999996,Positive,51
Dev  Kumar,5.0,Camera quality top notch 👍,camera quality top notch,0.5,Positive,26
Ankit  Verma,4.0,Awesome camra quality superb camra 😊,awesome camra quality superb camra,1.0,Positive,36
